path,area,git_blob_or_state,provenance_classification,governing_basis,release_disposition,evidence
.github/ISSUE_TEMPLATE/bug_report.yml,repository-metadata,51e2d81a6c5742a5f93ecfae9bb85936e363a766,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
.github/ISSUE_TEMPLATE/config.yml,repository-metadata,927162050e40edafd3300cd23019a73fe894dc24,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
.github/ISSUE_TEMPLATE/feature_request.yml,repository-metadata,19a7a4f6349b7c7dcc572c1d2abddf8755d61175,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
.github/PULL_REQUEST_TEMPLATE.md,project-documentation,b8943051623245496d67244caf23deb79b738f37,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
.github/workflows/ci.yml,repository-metadata,24d711990cec53803dc0ab1e8e26951437dd5624,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
.gitleaks.toml,repository-metadata,7ffaaf766e7ce7d3efe61b0d89c5ff0735411ae9,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
.gitignore,repository-metadata,82de7ed799cc45fe13995076d913c6a5f296e362,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,basename-only:meta-android:samples/CameraAccess/.gitignore|meta-android:samples/CameraAccess/app/.gitignore|meta-ios:samples/CameraAccess/.gitignore|visionclaw:.gitignore|visionclaw:samples/CameraAccess/.gitignore;single-snapshot-no-prior-history
CHANGELOG.md,project-documentation,55f8ab7614f2561395075717da98e7865c2221e6,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,basename-only:meta-android:CHANGELOG.md|meta-ios:CHANGELOG.md|visionclaw:CHANGELOG.md;single-snapshot-no-prior-history
CODE_OF_CONDUCT.md,project-documentation,bc9562a884ab456fd9ab010b15309b10324993ad,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,replace-with-egoflow-policy-before-release,basename-only:meta-android:CODE_OF_CONDUCT.md|meta-ios:CODE_OF_CONDUCT.md|visionclaw:CODE_OF_CONDUCT.md;single-snapshot-no-prior-history
CONTRIBUTING.md,project-documentation,6bfd9d571471929788a373a79a002b2afe0b4d2e,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,replace-with-egoflow-policy-before-release,basename-only:meta-android:CONTRIBUTING.md|meta-ios:CONTRIBUTING.md|visionclaw:CONTRIBUTING.md;single-snapshot-no-prior-history
GOVERNANCE.md,project-documentation,60620fed091ff7cffb01ac72f85a18c7aed16d42,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
LICENSE,project-policy,e07059b4736bc16a9fb9ae6a827c0464c9b0a119,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-meta-terms-scope-and-add-clear-mixed-scope-explanation,exact:meta-android:LICENSE;exact:meta-ios:LICENSE;exact:visionclaw:LICENSE
NOTICE,project-policy,f0a88567ed5fa240438bec21923383b3e646ff05,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-and-reconcile-with-final-artifacts,meta-header;exact:meta-ios:NOTICE;exact:visionclaw:NOTICE
README.md,project-documentation,0c2c8bfd077389fe7da983df16e58082b0fd8de3,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,basename-only:meta-android:README.md|meta-android:samples/CameraAccess/README.md|meta-ios:README.md|meta-ios:samples/CameraAccess/README.md|visionclaw:README.md;single-snapshot-no-prior-history
SBOM.md,project-documentation,88bdf1c2ab7f48104e5f5ae7af331f8e5a4483c4,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
SECURITY.md,project-documentation,6ea9553bb10f3f464f32aabb6647010a7df98ed9,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
SUPPORT.md,project-documentation,12bbef3b9fefccdbc3220c449d7a66ec05373a0a,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
THIRD_PARTY_NOTICES.md,project-documentation,90476a032f4b9f7c18a52c1de688ad8c02d8a838,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-and-reconcile-with-final-artifacts,single-snapshot-no-prior-history
docs/01. project_guide.md,project-documentation,e4761c37c05e331cb55ba14b7558c456c15a74a2,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
docs/02. project_scope.md,project-documentation,fd4aab7d6f4109be237f8c366b79f2456e99de00,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
docs/03. project_architecture.md,project-documentation,aef93bb0fd9d99fe23737ddb85e49817d118efd1,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
docs/04. project_rtmp_android.md,project-documentation,99d788a4d0a4c5f8d1aadd554be04df1c914728f,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
docs/05. licensing-and-provenance.md,project-documentation,b4e7f97559b4d9f32cf58c1c4b799ed903120be9,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
docs/android-native-binary-inventory.csv,project-documentation,40cad40cdff3eca71c2d1f9b69e3eab38ef6bd8e,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
docs/decisions/0001-v0.0.1-android-transport-scope.md,project-documentation,4631dc618da942d5faebf426bc27f1f04be33d5d,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,single-snapshot-no-prior-history
docs/provenance-inventory.csv,project-documentation,generated-after-scan,candidate-egoflow-authored,EgoFlow-rights-candidate;no-app-wide-OSI-grant-in-v0.0.1,retain-as-release-documentation-or-metadata,self-row-for-complete-worktree-coverage
samples/CameraAccess/.gitignore,ios-experimental,70c30eba0221b9481c95d4859f052ff98c65dc36,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/.gitignore;same-path:meta-ios:samples/CameraAccess/.gitignore;same-path:visionclaw:samples/CameraAccess/.gitignore
samples/CameraAccess/CameraAccess.xcodeproj/project.pbxproj,ios-experimental,505b53ef8652738daa73e3765e95e6d5ef949d50,modified-upstream-or-provenance-uncertain,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,same-path:meta-ios:samples/CameraAccess/CameraAccess.xcodeproj/project.pbxproj;same-path:visionclaw:samples/CameraAccess/CameraAccess.xcodeproj/project.pbxproj
samples/CameraAccess/CameraAccess.xcodeproj/xcshareddata/xcschemes/CameraAccess.xcscheme,ios-experimental,37b52c1163e2cd342b4996288f2a354a3a273482,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:visionclaw:samples/CameraAccess/CameraAccess.xcodeproj/xcshareddata/xcschemes/CameraAccess.xcscheme;same-path:meta-ios:samples/CameraAccess/CameraAccess.xcodeproj/xcshareddata/xcschemes/CameraAccess.xcscheme;same-path:visionclaw:samples/CameraAccess/CameraAccess.xcodeproj/xcshareddata/xcschemes/CameraAccess.xcscheme
samples/CameraAccess/CameraAccess/Assets.xcassets/AccentColor.colorset/Contents.json,ios-experimental,4bf76f7af3d59743aa65f0f639407688dad57381,exact-upstream-copy,upstream-terms-and-notices;excluded-from-EgoFlow-MIT-claim,retain-reference-source-only;exclude-supported-build-and-demo;never-include-in-mit-claim,exact:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/AccentColor.colorset/Contents.json;exact:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/AccentColor.colorset/Contents.json;same-path:meta-ios:samples/CameraAccess/CameraAccess/Assets.xcassets/AccentColor.colorset/Contents.json;same-path:visionclaw:samples/CameraAccess/CameraAccess/Assets.xcassets/AccentColor.colorset/Contents.json
